TIME,,CH1,,CH2,,CH3,,CH4,
5.63E-09,5630,4.8003125,4800312.5,0.065625,65625,4.70375,4703750,0.24,240000.000000000000
5.71E-09,5710,4.7884375,4788437.5,0.0728125,72812.5,4.6978125,4697812.5,0.2365625,236562.500000000000
5.79E-09,5790,4.784375,4784375,0.070625,70625,4.694375,4694375,0.2209375,220937.500000000000
5.87E-09,5870,4.770625,4770625,0.066875,66875,4.6875,4687500,0.216875,216875.000000000000
5.95E-09,5950,4.7725,4772500,0.0603125,60312.5,4.6846875,4684687.5,0.2040625,204062.500000000000
6.03E-09,6030,4.76625,4766250,0.060625,60625,4.6778125,4677812.5,0.208125,208125.000000000000
6.11E-09,6110,4.7784375,4778437.5,0.0628125,62812.5,4.6753125,4675312.5,0.2025,202500.000000000000
6.19E-09,6190,4.7853125,4785312.5,0.07125,71250,4.6696875,4669687.5,0.2075,207500.000000000000
6.27E-09,6270,4.806875,4806875,0.07875,78750,4.6678125,4667812.5,0.19875,198750.000000000000
6.35E-09,6350,4.815625,4815625,0.0871875,87187.5,4.66125,4661250,0.201875,201875.000000000000
6.43E-09,6430,4.836875,4836875,0.0871875,87187.5,4.65875,4658750,0.19,190000.000000000000
6.51E-09,6510,4.8490625,4849062.5,0.0809375,80937.5,4.6540625,4654062.5,0.1859375,185937.500000000000
6.59E-09,6590,4.8746875,4874687.5,0.063125,63125,4.654375,4654375,0.1684375,168437.500000000000
6.67E-09,6670,4.8878125,4887812.5,0.0421875,42187.5,4.6509375,4650937.5,0.1659375,165937.500000000000
6.75E-09,6750,4.9121875,4912187.5,0.0165625,16562.5,4.6509375,4650937.5,0.15375,153750.000000000000
6.83E-09,6830,4.9225,4922500,-0.0021875,-2187.5,4.6459375,4645937.5,0.1553125,155312.500000000000
6.91E-09,6910,4.9365625,4936562.5,-0.015,-15000,4.6425,4642500,0.1490625,149062.500000000000
6.99E-09,6990,4.925,4925000,-0.0115625,-11562.5,4.6315625,4631562.5,0.160625,160625.000000000000
7.07E-09,7070,4.9121875,4912187.5,0.0009375,937.5,4.623125,4623125,0.1634375,163437.500000000000
7.15E-09,7150,4.8778125,4877812.5,0.0240625,24062.5,4.611875,4611875,0.1790625,179062.500000000000
7.23E-09,7230,4.8484375,4848437.5,0.04625,46250,4.6071875,4607187.5,0.184375,184375.000000000000
7.31E-09,7310,4.805625,4805625,0.0665625,66562.5,4.603125,4603125,0.204375,204375.000000000000
7.39E-09,7390,4.7815625,4781562.5,0.0725,72500,4.60875,4608750,0.2128125,212812.500000000000
7.47E-09,7470,4.760625,4760625,0.0678125,67812.5,4.615625,4615625,0.2309375,230937.500000000000
7.55E-09,7550,4.7659375,4765937.5,0.048125,48125,4.6278125,4627812.5,0.2359375,235937.500000000000
7.63E-09,7630,4.7709375,4770937.5,0.0265625,26562.5,4.6340625,4634062.5,0.2525,252500.000000000000
7.71E-09,7710,4.79625,4796250,0.0040625,4062.5,4.639375,4639375,0.2534375,253437.500000000000
7.79E-09,7790,4.81375,4813750,-0.0059375,-5937.5,4.6346875,4634687.5,0.2603125,260312.500000000000
7.87E-09,7870,4.8396875,4839687.5,-0.0040625,-4062.5,4.6275,4627500,0.2503125,250312.500000000000
7.95E-09,7950,4.8446875,4844687.5,0.0159375,15937.5,4.61125,4611250,0.2509375,250937.500000000000
8.03E-09,8030,4.85375,4853750,0.04375,43750,4.5978125,4597812.5,0.2375,237500.000000000000
8.11E-09,8110,4.845625,4845625,0.0765625,76562.5,4.584375,4584375,0.235,235000.000000000000
8.19E-09,8190,4.84625,4846250,0.099375,99375,4.5803125,4580312.5,0.22375,223750.000000000000
8.27E-09,8270,4.831875,4831875,0.11125,111250,4.579375,4579375,0.23125,231250.000000000000
8.35E-09,8350,4.831875,4831875,0.1021875,102187.5,4.589375,4589375,0.231875,231875.000000000000
8.43E-09,8430,4.8240625,4824062.5,0.0796875,79687.5,4.6025,4602500,0.2459375,245937.500000000000
